"Date","Price","Open","High","Low","Vol.","Change %"
"26-12-2025","85,041.45","85,225.28","85,378.51","84,937.82","4.83M","-0.43%"
"24-12-2025","85,408.70","85,533.11","85,738.18","85,342.19","8.43M","-0.14%"
"23-12-2025","85,524.84","85,690.10","85,704.93","85,342.99","6.10M","-0.05%"
"22-12-2025","85,567.48","85,145.90","85,601.33","85,145.86","6.12M","0.75%"
"19-12-2025","84,929.36","84,756.79","85,067.50","84,734.96","9.10M","0.53%"
"18-12-2025","84,481.81","84,518.33","84,780.19","84,238.43","14.96M","-0.09%"
"17-12-2025","84,559.65","84,856.26","84,889.45","84,415.98","11.24M","-0.14%"
"16-12-2025","84,679.86","85,025.61","85,059.96","84,620.61","9.58M","-0.63%"
"15-12-2025","85,213.36","84,891.75","85,278.63","84,840.32","10.63M","-0.06%"
"12-12-2025","85,267.66","85,051.03","85,320.82","84,956.74","8.18M","0.53%"
"11-12-2025","84,818.13","84,456.75","84,906.93","84,150.19","15.84M","0.51%"
"10-12-2025","84,391.27","84,607.49","85,020.34","84,313.62","8.77M","-0.32%"
"09-12-2025","84,666.28","84,742.87","84,947.89","84,382.96","8.50M","-0.51%"
"08-12-2025","85,102.69","85,624.84","85,722.97","84,875.59","10.65M","-0.71%"
"05-12-2025","85,712.37","85,125.48","85,796.72","85,078.12","7.92M","0.52%"
"04-12-2025","85,265.32","84,987.56","85,487.21","84,949.98","17.90M","0.19%"
"03-12-2025","85,106.81","85,150.64","85,269.68","84,763.64","17.38M","-0.04%"
"02-12-2025","85,138.27","85,325.51","85,553.51","85,053.00","5.84M","-0.59%"
"01-12-2025","85,641.90","86,065.92","86,159.02","85,489.65","8.45M","-0.08%"
"28-11-2025","85,706.67","85,791.55","85,969.89","85,577.82","6.39M","-0.02%"
"27-11-2025","85,720.38","85,745.05","86,055.86","85,473.85","15.81M","0.13%"
"26-11-2025","85,609.51","84,503.44","85,644.19","84,478.13","13.84M","1.21%"
"25-11-2025","84,587.01","85,008.93","85,110.24","84,536.73","6.17M","-0.37%"
"24-11-2025","84,900.71","85,320.04","85,473.47","84,710.11","9.64M","-0.39%"
"21-11-2025","85,231.92","85,347.40","85,609.40","85,187.84","14.17M","-0.47%"
"20-11-2025","85,632.68","85,470.92","85,801.70","85,201.22","24.29M","0.52%"
"19-11-2025","85,186.47","84,643.78","85,236.77","84,525.98","8.86M","0.61%"
"18-11-2025","84,673.02","85,042.37","85,042.41","84,558.36","10.66M","-0.33%"
"17-11-2025","84,950.95","84,700.50","84,988.09","84,581.08","10.48M","0.46%"
"14-11-2025","84,562.78","84,060.14","84,697.87","84,029.32","8.85M","0.10%"
"13-11-2025","84,478.67","84,525.89","84,919.43","84,253.05","25.58M","0.01%"
"12-11-2025","84,466.51","84,238.86","84,652.01","84,166.75","9.14M","0.71%"
"11-11-2025","83,871.32","83,671.52","83,936.47","83,124.03","16.47M","0.40%"
"10-11-2025","83,535.35","83,198.20","83,754.49","83,197.67","11.91M","0.38%"
"07-11-2025","83,216.28","83,150.15","83,390.11","82,670.95","15.94M","-0.11%"
"06-11-2025","83,311.01","83,516.69","83,846.35","83,237.65","17.92M","-0.18%"
"04-11-2025","83,459.15","84,000.64","84,068.01","83,412.77","9.51M","-0.62%"
"03-11-2025","83,978.49","83,835.10","84,127.00","83,609.54","1.35M","0.05%"
"31-10-2025","83,938.71","84,379.79","84,712.79","83,905.66","13.27M","-0.55%"
"30-10-2025","84,404.46","84,750.90","84,906.95","84,312.65","14.20M","-0.70%"
"29-10-2025","84,997.13","84,663.68","85,105.83","84,638.68","13.56M","0.44%"
"28-10-2025","84,628.16","84,625.71","84,986.94","84,219.39","12.94M","-0.18%"
"27-10-2025","84,778.84","84,297.39","84,932.08","84,294.20","11.96M","0.67%"
"24-10-2025","84,211.88","84,667.23","84,707.44","83,957.15","13.58M","-0.41%"
"23-10-2025","84,556.40","85,154.15","85,290.06","84,445.25","25.72M","0.15%"
"21-10-2025","84,426.34","84,484.67","84,665.44","84,286.40","3.39M","0.07%"
"20-10-2025","84,363.37","84,269.30","84,656.56","84,196.79","10.94M","0.49%"
"17-10-2025","83,952.19","83,331.78","84,172.24","83,206.08","14.33M","0.58%"
"16-10-2025","83,467.66","82,794.79","83,615.48","82,791.35","27.40M","1.04%"
"15-10-2025","82,605.43","82,197.25","82,727.02","82,084.37","10.64M","0.70%"
"14-10-2025","82,029.98","82,404.54","82,573.37","81,781.62","12.57M","-0.36%"
"13-10-2025","82,327.05","82,049.16","82,438.50","82,043.14","9.04M","-0.21%"
"10-10-2025","82,500.82","82,075.45","82,654.11","82,072.93","13.74M","0.40%"
"09-10-2025","82,172.10","81,900.00","82,247.73","81,667.68","23.15M","0.49%"
"08-10-2025","81,773.66","81,899.51","82,257.74","81,646.08","15.22M","-0.19%"
"07-10-2025","81,926.75","81,883.95","82,309.56","81,787.48","13.91M","0.17%"
"06-10-2025","81,790.12","81,274.79","81,846.42","81,155.88","8.77M","0.72%"
"03-10-2025","81,207.17","80,684.14","81,251.99","80,649.57","13.62M","0.28%"
"01-10-2025","80,983.31","80,173.24","81,068.43","80,159.90","22.27M","0.89%"
"30-09-2025","80,267.62","80,541.77","80,677.82","80,201.15","7.08M","-0.12%"
"29-09-2025","80,364.94","80,588.77","80,851.38","80,248.84","8.57M","-0.08%"
"26-09-2025","80,426.46","80,956.01","81,033.09","80,332.41","10.74M","-0.90%"
"25-09-2025","81,159.68","81,574.31","81,840.73","81,092.89","14.80M","-0.68%"
"24-09-2025","81,715.63","81,917.65","82,045.47","81,607.84","15.07M","-0.47%"
"23-09-2025","82,102.10","82,147.37","82,370.38","81,776.53","9.30M","-0.07%"
"22-09-2025","82,159.97","82,151.07","82,583.16","81,997.29","10.31M","-0.56%"
"19-09-2025","82,626.23","82,946.04","82,978.63","82,485.92","9.65M","-0.47%"
"18-09-2025","83,013.96","83,108.92","83,141.21","82,704.92","14.61M","0.39%"
"17-09-2025","82,693.71","82,506.40","82,741.95","82,490.47","14.65M","0.38%"
"16-09-2025","82,380.69","81,852.11","82,443.48","81,779.94","8.21M","0.73%"
"15-09-2025","81,785.74","81,925.51","81,998.51","81,744.70","10.53M","-0.15%"
"12-09-2025","81,904.70","81,758.95","81,992.85","81,641.38","11.06M","0.44%"
"11-09-2025","81,548.73","81,217.30","81,642.22","81,216.91","13.55M","0.15%"
"10-09-2025","81,425.15","81,504.36","81,643.88","81,235.42","11.83M","0.40%"
"09-09-2025","81,101.32","81,129.69","81,181.37","80,927.97","6.31M","0.39%"
"08-09-2025","80,787.30","80,904.40","81,171.38","80,733.07","8.74M","0.09%"
"05-09-2025","80,710.76","81,012.42","81,036.56","80,321.19","8.19M","-0.01%"
"04-09-2025","80,718.01","81,456.67","81,456.67","80,608.94","17.03M","0.19%"
"03-09-2025","80,567.71","80,295.99","80,671.28","80,004.60","17.06M","0.51%"
"02-09-2025","80,157.88","80,520.09","80,761.14","80,008.50","8.19M","-0.26%"
"01-09-2025","80,364.49","79,828.99","80,406.84","79,818.38","6.03M","0.70%"
"29-08-2025","79,809.65","80,010.83","80,310.74","79,741.76","12.45M","-0.34%"
"28-08-2025","80,080.57","80,754.66","80,775.71","80,013.02","7.85M","-0.87%"
"26-08-2025","80,786.54","81,377.39","81,450.28","80,685.98","20.48M","-1.04%"
"25-08-2025","81,635.91","81,501.06","81,799.06","81,364.86","9.71M","0.40%"
"22-08-2025","81,306.85","81,951.48","81,993.61","81,291.77","6.73M","-0.85%"
"21-08-2025","82,000.71","82,220.46","82,231.17","81,921.22","10.05M","0.17%"
"20-08-2025","81,857.84","81,671.47","81,985.62","81,494.50","9.37M","0.26%"
"19-08-2025","81,644.39","81,319.11","81,755.88","81,315.44","10.85M","0.46%"
"18-08-2025","81,273.75","81,315.79","81,765.77","81,202.42","19.28M","0.84%"
"14-08-2025","80,597.66","80,625.28","80,751.18","80,489.86","7.24M","0.07%"
"13-08-2025","80,539.91","80,492.17","80,683.74","80,319.00","12.31M","0.38%"
"12-08-2025","80,235.59","80,508.51","80,997.67","80,164.36","10.29M","-0.46%"
"11-08-2025","80,604.08","79,885.36","80,636.05","79,772.46","8.64M","0.93%"
"08-08-2025","79,857.79","80,478.01","80,550.40","79,775.84","23.21M","-0.95%"
"07-08-2025","80,623.26","80,262.98","80,737.55","79,811.29","37.53M","0.10%"
"06-08-2025","80,543.99","80,694.98","80,834.43","80,448.82","5.25M","-0.21%"
"05-08-2025","80,710.25","80,946.43","81,010.49","80,554.40","10.92M","-0.38%"
"04-08-2025","81,018.72","80,765.83","81,093.19","80,500.51","9.86M","0.52%"
"01-08-2025","80,599.91","81,074.41","81,317.51","80,495.57","14.68M","-0.72%"
"31-07-2025","81,185.58","80,695.50","81,803.27","80,695.15","9.71M","-0.36%"
