"Date","Price","Open","High","Low","Vol.","Change %"
"24-06-2022","52,727.98","52,654.24","52,909.87","52,447.25","4.99M","0.88%"
"23-06-2022","52,265.72","51,972.75","52,516.79","51,632.85","5.59M","0.86%"
"22-06-2022","51,822.53","52,186.36","52,272.85","51,739.98","5.76M","-1.35%"
"21-06-2022","52,532.07","51,897.60","52,799.40","51,808.76","5.14M","1.81%"
"20-06-2022","51,597.84","51,470.03","51,714.61","51,062.93","6.96M","0.46%"
"17-06-2022","51,360.42","51,181.99","51,652.83","50,921.22","8.27M","-0.26%"
"16-06-2022","51,495.79","53,018.91","53,142.50","51,425.48","9.19M","-1.99%"
"15-06-2022","52,541.39","52,650.41","52,867.73","52,493.36","5.91M","-0.29%"
"14-06-2022","52,693.57","52,495.94","53,095.32","52,459.48","6.94M","-0.29%"
"13-06-2022","52,846.70","53,184.61","53,207.54","52,527.08","7.48M","-2.68%"
"10-06-2022","54,303.44","54,760.25","54,780.78","54,205.99","4.76M","-1.84%"
"09-06-2022","55,320.28","54,514.17","55,366.84","54,507.41","5.97M","0.78%"
"08-06-2022","54,892.49","55,345.51","55,423.97","54,683.30","6.04M","-0.39%"
"07-06-2022","55,107.34","55,373.18","55,387.77","54,882.41","3.64M","-1.02%"
"06-06-2022","55,675.32","55,610.64","55,832.28","55,295.74","4.30M","-0.17%"
"03-06-2022","55,769.23","56,245.60","56,432.65","55,719.36","5.94M","-0.09%"
"02-06-2022","55,818.11","55,382.44","55,891.92","55,135.11","5.85M","0.79%"
"01-06-2022","55,381.17","55,588.27","55,791.49","55,091.43","7.33M","-0.33%"
"31-05-2022","55,566.41","55,622.01","55,925.62","55,369.14","8.27M","-0.64%"
"30-05-2022","55,925.74","55,507.75","56,082.65","55,466.30","5.94M","1.90%"
"27-05-2022","54,884.66","54,671.50","54,936.63","54,449.34","7.04M","1.17%"
"26-05-2022","54,252.53","53,950.84","54,346.22","53,425.25","7.48M","0.94%"
"25-05-2022","53,749.26","54,254.07","54,379.59","53,683.16","6.15M","-0.56%"
"24-05-2022","54,052.61","54,307.56","54,524.37","53,886.28","5.62M","-0.43%"
"23-05-2022","54,288.61","54,459.95","54,931.30","54,191.55","7.09M","-0.07%"
"20-05-2022","54,326.39","53,513.97","54,396.43","53,403.29","7.58M","2.91%"
"19-05-2022","52,792.23","53,070.30","53,356.04","52,669.51","9.15M","-2.61%"
"18-05-2022","54,208.53","54,554.89","54,786.00","54,130.89","5.81M","-0.20%"
"17-05-2022","54,318.47","53,285.19","54,399.42","53,176.02","7.44M","2.54%"
"16-05-2022","52,973.84","52,946.32","53,428.28","52,632.48","4.77M","0.34%"
"13-05-2022","52,793.62","53,565.74","53,785.71","52,654.89","9.28M","-0.26%"
"12-05-2022","52,930.31","53,608.35","53,632.55","52,702.30","6.86M","-2.14%"
"11-05-2022","54,088.39","54,544.91","54,598.55","53,519.30","7.17M","-0.51%"
"10-05-2022","54,364.85","54,309.31","54,857.02","54,226.33","8.04M","-0.19%"
"09-05-2022","54,470.67","54,188.21","54,795.47","53,918.02","9.26M","-0.67%"
"06-05-2022","54,835.58","54,928.29","55,070.12","54,586.75","8.05M","-1.56%"
"05-05-2022","55,702.23","56,255.07","56,566.80","55,613.82","8.22M","0.06%"
"04-05-2022","55,669.03","57,124.91","57,184.21","55,501.60","50.75M","-2.29%"
"02-05-2022","56,975.99","56,429.45","57,054.23","56,412.62","7.92M","-0.15%"
